threshold,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1,recall_lo,recall_hi,fpr_lo,fpr_hi
0.7853134363999953,50,710,142,4,906,54,852,192,714,0.9259259259259259,0.8333333333333334,0.16666666666666666,0.07407407407407407,0.2604166666666667,0.9943977591036415,0.8388520971302428,0.4065040650406504,0.8292508710801393,1.0,0.14001645367775117,0.19447942878218902
0.7856567161468433,50,711,141,4,906,54,852,191,715,0.9259259259259259,0.8345070422535211,0.16549295774647887,0.07407407407407407,0.2617801047120419,0.9944055944055944,0.8399558498896247,0.40816326530612246,0.8292508710801393,1.0,0.13773043481784,0.19431527898084955
0.7863364462033849,50,712,140,4,906,54,852,190,716,0.9259259259259259,0.8356807511737089,0.1643192488262911,0.07407407407407407,0.2631578947368421,0.994413407821229,0.8410596026490066,0.4098360655737705,0.8292508710801393,1.0,0.13584190159870324,0.1933971941427592
0.7879216859985659,50,713,139,4,906,54,852,189,717,0.9259259259259259,0.8368544600938967,0.16314553990610328,0.07407407407407407,0.26455026455026454,0.9944211994421199,0.8421633554083885,0.411522633744856,0.8292508710801393,1.0,0.13541514731621937,0.1910407649737382
0.7955905945463333,50,714,138,4,906,54,852,188,718,0.9259259259259259,0.8380281690140845,0.1619718309859155,0.07407407407407407,0.26595744680851063,0.9944289693593314,0.8432671081677704,0.4132231404958678,0.8292508710801393,1.0,0.1345702365425266,0.19008682108076766
0.7966328266445372,50,716,136,4,906,54,852,186,720,0.9259259259259259,0.8403755868544601,0.1596244131455399,0.07407407407407407,0.26881720430107525,0.9944444444444445,0.8454746136865342,0.4166666666666667,0.8292508710801393,1.0,0.13309999362895006,0.18648524483839585
0.796995132017882,50,717,135,4,906,54,852,185,721,0.9259259259259259,0.8415492957746479,0.15845070422535212,0.07407407407407407,0.2702702702702703,0.9944521497919556,0.8465783664459161,0.41841004184100417,0.8292508710801393,1.0,0.13194285168195719,0.1862158454073019
0.7985608082181612,50,718,134,4,906,54,852,184,722,0.9259259259259259,0.8427230046948356,0.1572769953051643,0.07407407407407407,0.2717391304347826,0.9944598337950139,0.847682119205298,0.42016806722689076,0.8292508710801393,1.0,0.13139387525452792,0.18399044205495818
0.8004807692307693,50,718,134,4,906,54,852,184,722,0.9259259259259259,0.8427230046948356,0.1572769953051643,0.07407407407407407,0.2717391304347826,0.9944598337950139,0.847682119205298,0.42016806722689076,0.8292508710801393,1.0,0.13139387525452792,0.18399044205495818
0.8011374590321959,50,720,132,4,906,54,852,182,724,0.9259259259259259,0.8450704225352113,0.15492957746478872,0.07407407407407407,0.27472527472527475,0.994475138121547,0.8498896247240618,0.423728813559322,0.8292508710801393,1.0,0.12977983777520277,0.18137298205501282
0.8020151596427507,50,721,131,4,906,54,852,181,725,0.9259259259259259,0.846244131455399,0.15375586854460094,0.07407407407407407,0.27624309392265195,0.9944827586206897,0.8509933774834437,0.425531914893617,0.8292508710801393,1.0,0.1290660197714934,0.18014868270629805
0.8021712907117008,50,721,131,4,906,54,852,181,725,0.9259259259259259,0.846244131455399,0.15375586854460094,0.07407407407407407,0.27624309392265195,0.9944827586206897,0.8509933774834437,0.425531914893617,0.8292508710801393,1.0,0.1290660197714934,0.18014868270629805
0.8026229503449333,50,723,129,4,906,54,852,179,727,0.9259259259259259,0.8485915492957746,0.15140845070422534,0.07407407407407407,0.27932960893854747,0.9944979367262724,0.8532008830022075,0.4291845493562232,0.8292508710801393,1.0,0.12599888494718378,0.179280448243343
0.8039696880008965,50,725,127,4,906,54,852,177,729,0.9259259259259259,0.8509389671361502,0.14906103286384975,0.07407407407407407,0.2824858757062147,0.9945130315500685,0.8554083885209713,0.4329004329004329,0.8292508710801393,1.0,0.12369911844652336,0.17689017949965713
0.8052953931953407,50,726,126,4,906,54,852,176,730,0.9259259259259259,0.852112676056338,0.14788732394366197,0.07407407407407407,0.2840909090909091,0.9945205479452055,0.8565121412803532,0.43478260869565216,0.8292508710801393,1.0,0.12206572769953052,0.1761314361586336
0.8061689895839963,50,727,125,4,906,54,852,175,731,0.9259259259259259,0.8532863849765259,0.1467136150234742,0.07407407407407407,0.2857142857142857,0.9945280437756497,0.8576158940397351,0.4366812227074236,0.8292508710801393,1.0,0.12042472487895757,0.17533830062209443
0.8085214002793819,50,728,124,4,906,54,852,174,732,0.9259259259259259,0.8544600938967136,0.14553990610328638,0.07407407407407407,0.28735632183908044,0.994535519125683,0.8587196467991169,0.43859649122807015,0.8292508710801393,1.0,0.11832946635730858,0.17502920723425344
0.8096713964568417,50,729,123,4,906,54,852,173,733,0.9259259259259259,0.8556338028169014,0.1443661971830986,0.07407407407407407,0.28901734104046245,0.9945429740791268,0.8598233995584988,0.44052863436123346,0.8292508710801393,1.0,0.11811426128228245,0.1729462689669507
0.8103827190412377,50,730,122,4,906,54,852,172,734,0.9259259259259259,0.8568075117370892,0.1431924882629108,0.07407407407407407,0.29069767441860467,0.9945504087193461,0.8609271523178808,0.4424778761061947,0.8292508710801393,1.0,0.11668611435239207,0.1721707916909425
